SENSE daac 64 24-04-2019 07:45:06.605 T: 30.26399993896484 [C]; A:[-34, 54, 200]; H: 70.11846923828125
SENSE daaa 65 24-04-2019 07:45:06.873 T: 29.88959884643554 [C]; A:[-20, -60, 218]; H: 70.446533203125
SENSE daad 57 24-04-2019 07:45:03.847 T: 30.13919830322265 [C]; A:[38, -48, 242]; H: 67.54736328125
SENSE daad 58 24-04-2019 07:45:04.212 T: 30.0767993927002 [C]; A:[40, -48, 238]; H: 67.54736328125
SENSE daab 58 24-04-2019 07:45:04.292 T: 29.764799118042 [C]; A:[78, 0, 218]; H: 69.85906982421875
SENSE daaa 66 24-04-2019 07:45:07.295 T: 29.88959884643554 [C]; A:[-18, -60, 220]; H: 70.446533203125
SENSE daad 59 24-04-2019 07:45:04.638 T: 30.0767993927002 [C]; A:[44, -46, 242]; H: 67.54736328125
SENSE daad 60 24-04-2019 07:45:04.992 T: 30.13919830322265 [C]; A:[42, -52, 238]; H: 67.54736328125
SENSE daaa 67 24-04-2019 07:45:07.647 T: 29.88959884643554 [C]; A:[-16, -64, 220]; H: 70.446533203125
SENSE daac 66 24-04-2019 07:45:07.590 T: 30.3263988494873 [C]; A:[-36, 54, 192]; H: 70.11846923828125
SENSE daaa 68 24-04-2019 07:45:08.015 T: 29.88959884643554 [C]; A:[-20, -58, 220]; H: 70.446533203125
SENSE daac 67 24-04-2019 07:45:07.950 T: 30.26399993896484 [C]; A:[-34, 52, 192]; H: 70.11846923828125
SENSE daab 61 24-04-2019 07:45:05.507 T: 29.764799118042 [C]; A:[76, 2, 222]; H: 69.85906982421875
SENSE daac 68 24-04-2019 07:45:08.305 T: 30.26399993896484 [C]; A:[-36, 56, 192]; H: 70.0955810546875
SENSE daaa 69 24-04-2019 07:45:08.437 T: 29.95199966430664 [C]; A:[-16, -58, 214]; H: 70.446533203125
SENSE daac 69 24-04-2019 07:45:08.671 T: 30.3263988494873 [C]; A:[-36, 50, 192]; H: 70.11846923828125
SENSE daaa 70 24-04-2019 07:45:08.789 T: 29.88959884643554 [C]; A:[-20, -58, 218]; H: 70.446533203125
SENSE daad 64 24-04-2019 07:45:06.498 T: 30.0767993927002 [C]; A:[44, -48, 240]; H: 67.54736328125
SENSE daab 63 24-04-2019 07:45:06.321 T: 29.764799118042 [C]; A:[78, 0, 220]; H: 69.88958740234375
SENSE daac 70 24-04-2019 07:45:09.095 T: 30.26399993896484 [C]; A:[-36, 54, 196]; H: 70.0955810546875
SENSE daaa 71 24-04-2019 07:45:09.221 T: 29.88959884643554 [C]; A:[-18, -58, 214]; H: 70.416015625
SENSE daad 65 24-04-2019 07:45:06.865 T: 30.0767993927002 [C]; A:[46, -50, 242]; H: 67.54736328125
SENSE daaa 72 24-04-2019 07:45:09.584 T: 29.88959884643554 [C]; A:[-16, -64, 214]; H: 70.416015625
