SENSE daab 46 19-04-2019 09:08:35.644 T: 28.26719856262207 [C]; A:[18, -22, 226]; H: 78.381103515625
SENSE daad 21 19-04-2019 09:08:30.886 T: 27.51840019226074 [C]; A:[38, -32, 200]; H: 81.2802734375
SENSE daaa 100 19-04-2019 09:08:36.318 T: 28.45439910888671 [C]; A:[12, -16, 250]; H: 75.30645751953125
SENSE daaa 101 19-04-2019 09:08:37.083 T: 28.45439910888671 [C]; A:[14, -18, 250]; H: 75.27593994140625
SENSE daad 22 19-04-2019 09:08:36.842 T: 27.5807991027832 [C]; A:[44, -28, 192]; H: 81.19635009765625
SENSE daaa 102 19-04-2019 09:08:37.556 T: 28.45439910888671 [C]; A:[10, -14, 244]; H: 75.27593994140625
SENSE daaa 103 19-04-2019 09:08:38.133 T: 28.51679992675781 [C]; A:[16, -16, 248]; H: 75.27593994140625
SENSE daad 23 19-04-2019 09:08:37.928 T: 27.5807991027832 [C]; A:[42, -34, 188]; H: 81.16583251953125
SENSE daaa 104 19-04-2019 09:08:38.596 T: 28.45439910888671 [C]; A:[14, -22, 242]; H: 75.27593994140625
SENSE daaa 105 19-04-2019 09:08:39.173 T: 28.45439910888671 [C]; A:[16, -14, 246]; H: 75.24542236328125
SENSE daad 24 19-04-2019 09:08:38.973 T: 27.5807991027832 [C]; A:[44, -32, 194]; H: 81.16583251953125
SENSE daaa 106 19-04-2019 09:08:39.642 T: 28.51679992675781 [C]; A:[12, -18, 252]; H: 75.24542236328125
SENSE daaa 107 19-04-2019 09:08:40.209 T: 28.45439910888671 [C]; A:[18, -20, 250]; H: 75.21490478515625
SENSE daad 25 19-04-2019 09:08:40.034 T: 27.6431999206543 [C]; A:[44, -28, 196]; H: 81.13531494140625
SENSE daaa 108 19-04-2019 09:08:40.671 T: 28.51679992675781 [C]; A:[14, -20, 248]; H: 75.21490478515625
SENSE daaa 109 19-04-2019 09:08:41.249 T: 28.51679992675781 [C]; A:[14, -14, 248]; H: 75.21490478515625
SENSE daaa 110 19-04-2019 09:08:41.759 T: 28.45439910888671 [C]; A:[14, -18, 248]; H: 75.1920166015625
SENSE daaa 111 19-04-2019 09:08:42.240 T: 28.51679992675781 [C]; A:[14, -16, 244]; H: 75.1920166015625
