SENSE daac 38 24-04-2019 06:07:12.645 T: 30.6383991241455 [C]; A:[-28, 54, 196]; H: 69.43182373046875
SENSE daad 38 24-04-2019 06:07:12.648 T: 29.57759857177734 [C]; A:[6, -74, 214]; H: 71.84271240234375
SENSE daaa 39 24-04-2019 06:07:12.987 T: 30.3887996673584 [C]; A:[0, -6, 228]; H: 68.33319091796875
SENSE daab 39 24-04-2019 06:07:12.985 T: 30.82559967041015 [C]; A:[40, 28, 244]; H: 65.5484619140625
SENSE daac 39 24-04-2019 06:07:12.981 T: 30.6383991241455 [C]; A:[-26, 50, 190]; H: 69.43182373046875
SENSE daad 39 24-04-2019 06:07:12.984 T: 29.57759857177734 [C]; A:[2, -72, 210]; H: 71.84271240234375
SENSE daaa 40 24-04-2019 06:07:13.319 T: 30.45119857788085 [C]; A:[0, 0, 234]; H: 68.2950439453125
SENSE daab 40 24-04-2019 06:07:13.316 T: 30.76319885253906 [C]; A:[44, 30, 242]; H: 65.5484619140625
SENSE daac 40 24-04-2019 06:07:13.310 T: 30.6383991241455 [C]; A:[-26, 56, 198]; H: 69.43182373046875
SENSE daad 40 24-04-2019 06:07:13.313 T: 29.57759857177734 [C]; A:[4, -70, 216]; H: 71.84271240234375
SENSE daaa 41 24-04-2019 06:07:13.650 T: 30.45119857788085 [C]; A:[0, 0, 228]; H: 68.2950439453125
SENSE daab 41 24-04-2019 06:07:13.648 T: 30.76319885253906 [C]; A:[40, 24, 246]; H: 65.5484619140625
SENSE daac 41 24-04-2019 06:07:13.644 T: 30.6383991241455 [C]; A:[-28, 52, 194]; H: 69.43182373046875
SENSE daad 41 24-04-2019 06:07:13.648 T: 29.51519966125488 [C]; A:[4, -66, 216]; H: 71.84271240234375
SENSE daaa 42 24-04-2019 06:07:13.985 T: 30.3887996673584 [C]; A:[0, 0, 230]; H: 68.2950439453125
SENSE daab 42 24-04-2019 06:07:13.984 T: 30.82559967041015 [C]; A:[44, 26, 250]; H: 65.5484619140625
SENSE daac 42 24-04-2019 06:07:13.979 T: 30.6383991241455 [C]; A:[-28, 52, 200]; H: 69.43182373046875
SENSE daad 42 24-04-2019 06:07:13.988 T: 29.57759857177734 [C]; A:[6, -72, 220]; H: 71.84271240234375
SENSE daaa 43 24-04-2019 06:07:14.318 T: 30.45119857788085 [C]; A:[0, -2, 230]; H: 68.2950439453125
SENSE daab 43 24-04-2019 06:07:14.317 T: 30.82559967041015 [C]; A:[38, 28, 246]; H: 65.5484619140625
SENSE daac 43 24-04-2019 06:07:14.311 T: 30.6383991241455 [C]; A:[-26, 52, 188]; H: 69.43182373046875
SENSE daad 43 24-04-2019 06:07:14.314 T: 29.57759857177734 [C]; A:[6, -74, 214]; H: 71.84271240234375
