SENSE daaa 75 25-04-2019 06:01:18.039 T: 27.6431999206543 [C]; A:[6, -36, 250]; H: 67.760986328125
SENSE daab 47 25-04-2019 06:01:17.988 T: 27.70559883117675 [C]; A:[-14, -8, 232]; H: 67.72283935546875
SENSE daad 17 25-04-2019 06:01:17.911 T: 27.51840019226074 [C]; A:[154, 0, 172]; H: 71.62908935546875
SENSE daaa 76 25-04-2019 06:01:18.382 T: 27.6431999206543 [C]; A:[4, -34, 250]; H: 67.760986328125
SENSE daab 48 25-04-2019 06:01:18.439 T: 27.70559883117675 [C]; A:[-16, -6, 232]; H: 67.69232177734375
SENSE daaa 77 25-04-2019 06:01:18.745 T: 27.5807991027832 [C]; A:[2, -38, 242]; H: 67.760986328125
SENSE daab 49 25-04-2019 06:01:18.946 T: 27.70559883117675 [C]; A:[-20, -8, 226]; H: 67.69232177734375
SENSE daaa 78 25-04-2019 06:01:19.090 T: 27.6431999206543 [C]; A:[6, -40, 244]; H: 67.760986328125
SENSE daad 18 25-04-2019 06:01:18.865 T: 27.51840019226074 [C]; A:[146, -8, 174]; H: 71.4993896484375
SENSE daaa 79 25-04-2019 06:01:19.462 T: 27.5807991027832 [C]; A:[0, -34, 248]; H: 67.760986328125
SENSE daab 50 25-04-2019 06:01:19.391 T: 27.70559883117675 [C]; A:[-18, -8, 230]; H: 67.69232177734375
SENSE daaa 80 25-04-2019 06:01:19.796 T: 27.6431999206543 [C]; A:[6, -42, 244]; H: 67.73046875
SENSE daab 51 25-04-2019 06:01:19.886 T: 27.70559883117675 [C]; A:[-16, -10, 232]; H: 67.66180419921875
SENSE daad 19 25-04-2019 06:01:19.808 T: 27.51840019226074 [C]; A:[152, -8, 178]; H: 71.36968994140625
SENSE daaa 81 25-04-2019 06:01:20.144 T: 27.5807991027832 [C]; A:[2, -40, 244]; H: 67.73046875
SENSE daab 52 25-04-2019 06:01:20.335 T: 27.70559883117675 [C]; A:[-14, -8, 228]; H: 67.6236572265625
SENSE daaa 82 25-04-2019 06:01:20.542 T: 27.5807991027832 [C]; A:[10, -40, 242]; H: 67.699951171875
SENSE daaa 83 25-04-2019 06:01:20.876 T: 27.5807991027832 [C]; A:[0, -40, 250]; H: 67.699951171875
SENSE daab 53 25-04-2019 06:01:20.843 T: 27.70559883117675 [C]; A:[-12, -10, 234]; H: 67.5931396484375
SENSE daad 20 25-04-2019 06:01:20.761 T: 27.51840019226074 [C]; A:[152, -12, 178]; H: 71.239990234375
