SENSE daaa 43 19-04-2019 07:09:40.465 T: 28.64159965515136 [C]; A:[16, -66, 220]; H: 76.3974609375
SENSE daad 43 19-04-2019 07:09:40.366 T: 26.9567985534668 [C]; A:[24, 0, 232]; H: 81.74566650390625
SENSE daab 44 19-04-2019 07:09:40.531 T: 29.14079856872558 [C]; A:[12, -30, 244]; H: 72.36151123046875
SENSE daac 44 19-04-2019 07:09:40.511 T: 26.20800018310546 [C]; A:[-34, 98, 180]; H: 84.5914306640625
SENSE daaa 44 19-04-2019 07:09:40.703 T: 28.64159965515136 [C]; A:[14, -72, 216]; H: 76.3974609375
SENSE daad 44 19-04-2019 07:09:40.605 T: 26.9567985534668 [C]; A:[24, -10, 232]; H: 81.74566650390625
SENSE daab 45 19-04-2019 07:09:40.775 T: 29.14079856872558 [C]; A:[10, -26, 244]; H: 72.36151123046875
SENSE daac 45 19-04-2019 07:09:40.756 T: 26.20800018310546 [C]; A:[-34, 98, 184]; H: 84.606689453125
SENSE daaa 45 19-04-2019 07:09:40.953 T: 28.64159965515136 [C]; A:[12, -66, 212]; H: 76.366943359375
SENSE daad 45 19-04-2019 07:09:40.844 T: 26.89439964294433 [C]; A:[22, -8, 236]; H: 81.74566650390625
SENSE daab 46 19-04-2019 07:09:41.024 T: 29.14079856872558 [C]; A:[10, -30, 252]; H: 72.36151123046875
SENSE daac 46 19-04-2019 07:09:40.996 T: 26.20800018310546 [C]; A:[-38, 102, 180]; H: 84.606689453125
SENSE daaa 46 19-04-2019 07:09:41.205 T: 28.64159965515136 [C]; A:[16, -70, 218]; H: 76.366943359375
SENSE daad 46 19-04-2019 07:09:41.093 T: 26.9567985534668 [C]; A:[28, -6, 232]; H: 81.74566650390625
SENSE daab 47 19-04-2019 07:09:41.263 T: 29.14079856872558 [C]; A:[12, -30, 240]; H: 72.36151123046875
SENSE daac 47 19-04-2019 07:09:41.236 T: 26.20800018310546 [C]; A:[-38, 96, 184]; H: 84.606689453125
SENSE daaa 47 19-04-2019 07:09:41.438 T: 28.64159965515136 [C]; A:[16, -66, 220]; H: 76.366943359375
SENSE daad 47 19-04-2019 07:09:41.332 T: 26.89439964294433 [C]; A:[22, -4, 232]; H: 81.7227783203125
SENSE daab 48 19-04-2019 07:09:41.501 T: 29.14079856872558 [C]; A:[16, -24, 242]; H: 72.36151123046875
SENSE daac 48 19-04-2019 07:09:41.476 T: 26.20800018310546 [C]; A:[-38, 96, 184]; H: 84.606689453125
SENSE daaa 48 19-04-2019 07:09:41.677 T: 28.64159965515136 [C]; A:[14, -66, 216]; H: 76.366943359375
SENSE daad 48 19-04-2019 07:09:41.570 T: 26.9567985534668 [C]; A:[24, -10, 230]; H: 81.7227783203125
SENSE daab 49 19-04-2019 07:09:41.735 T: 29.14079856872558 [C]; A:[18, -32, 248]; H: 72.338623046875
SENSE daac 49 19-04-2019 07:09:41.711 T: 26.20800018310546 [C]; A:[-38, 98, 184]; H: 84.606689453125
SENSE daaa 49 19-04-2019 07:09:41.920 T: 28.64159965515136 [C]; A:[10, -66, 222]; H: 76.366943359375
SENSE daad 49 19-04-2019 07:09:41.809 T: 26.9567985534668 [C]; A:[22, -8, 230]; H: 81.7227783203125
SENSE daab 50 19-04-2019 07:09:41.969 T: 29.14079856872558 [C]; A:[14, -28, 248]; H: 72.338623046875
SENSE daac 50 19-04-2019 07:09:41.946 T: 26.20800018310546 [C]; A:[-34, 100, 182]; H: 84.606689453125
SENSE daaa 50 19-04-2019 07:09:42.158 T: 28.64159965515136 [C]; A:[14, -68, 216]; H: 76.366943359375
SENSE daad 50 19-04-2019 07:09:42.048 T: 26.89439964294433 [C]; A:[22, 0, 234]; H: 81.7227783203125
SENSE daab 51 19-04-2019 07:09:42.203 T: 29.14079856872558 [C]; A:[16, -30, 248]; H: 72.338623046875
SENSE daac 51 19-04-2019 07:09:42.181 T: 26.20800018310546 [C]; A:[-32, 100, 182]; H: 84.606689453125
SENSE daaa 51 19-04-2019 07:09:42.402 T: 28.64159965515136 [C]; A:[12, -64, 220]; H: 76.33642578125
SENSE daad 51 19-04-2019 07:09:42.287 T: 26.89439964294433 [C]; A:[20, -4, 232]; H: 81.7227783203125
SENSE daab 52 19-04-2019 07:09:42.437 T: 29.14079856872558 [C]; A:[14, -30, 246]; H: 72.338623046875
SENSE daac 52 19-04-2019 07:09:42.416 T: 26.20800018310546 [C]; A:[-32, 102, 216]; H: 84.606689453125
SENSE daaa 52 19-04-2019 07:09:42.650 T: 28.64159965515136 [C]; A:[18, -66, 220]; H: 76.33642578125
SENSE daad 52 19-04-2019 07:09:42.526 T: 26.89439964294433 [C]; A:[22, -8, 232]; H: 81.7227783203125
SENSE daab 53 19-04-2019 07:09:42.681 T: 29.14079856872558 [C]; A:[12, -32, 240]; H: 72.338623046875
SENSE daac 53 19-04-2019 07:09:42.656 T: 26.20800018310546 [C]; A:[-38, 96, 180]; H: 84.606689453125
SENSE daaa 53 19-04-2019 07:09:42.894 T: 28.64159965515136 [C]; A:[16, -70, 222]; H: 76.33642578125
SENSE daad 53 19-04-2019 07:09:42.775 T: 26.9567985534668 [C]; A:[22, -6, 226]; H: 81.7227783203125
SENSE daab 54 19-04-2019 07:09:42.915 T: 29.14079856872558 [C]; A:[18, -30, 246]; H: 72.338623046875
SENSE daac 54 19-04-2019 07:09:42.896 T: 26.20800018310546 [C]; A:[-36, 104, 176]; H: 84.606689453125
SENSE daaa 54 19-04-2019 07:09:43.132 T: 28.64159965515136 [C]; A:[12, -72, 220]; H: 76.33642578125
SENSE daad 54 19-04-2019 07:09:43.024 T: 26.89439964294433 [C]; A:[24, -6, 228]; H: 81.7227783203125
SENSE daab 55 19-04-2019 07:09:43.154 T: 29.14079856872558 [C]; A:[10, -28, 240]; H: 72.30810546875
SENSE daac 55 19-04-2019 07:09:43.136 T: 26.20800018310546 [C]; A:[-32, 100, 178]; H: 84.606689453125
SENSE daaa 55 19-04-2019 07:09:43.375 T: 28.64159965515136 [C]; A:[18, -70, 218]; H: 76.33642578125
SENSE daad 55 19-04-2019 07:09:43.263 T: 26.89439964294433 [C]; A:[22, -6, 232]; H: 81.7227783203125
SENSE daab 56 19-04-2019 07:09:43.393 T: 29.20319938659667 [C]; A:[18, -32, 244]; H: 72.30810546875
SENSE daac 56 19-04-2019 07:09:43.371 T: 26.20800018310546 [C]; A:[-36, 102, 184]; H: 84.606689453125
SENSE daaa 56 19-04-2019 07:09:43.608 T: 28.64159965515136 [C]; A:[16, -68, 220]; H: 76.33642578125
SENSE daad 56 19-04-2019 07:09:43.502 T: 26.89439964294433 [C]; A:[22, -6, 232]; H: 81.6922607421875
SENSE daab 57 19-04-2019 07:09:43.632 T: 29.14079856872558 [C]; A:[16, -30, 248]; H: 72.30810546875
SENSE daac 57 19-04-2019 07:09:43.606 T: 26.20800018310546 [C]; A:[-38, 102, 184]; H: 84.606689453125
SENSE daaa 57 19-04-2019 07:09:43.852 T: 28.64159965515136 [C]; A:[14, -70, 216]; H: 76.33642578125
SENSE daad 57 19-04-2019 07:09:43.740 T: 26.9567985534668 [C]; A:[24, -8, 236]; H: 81.6922607421875
