SENSE daad 38 19-04-2019 05:55:43.204 T: 29.01599884033203 [C]; A:[-8, -20, 250]; H: 72.704833984375
SENSE daac 58 19-04-2019 05:55:43.549 T: 28.82879829406738 [C]; A:[24, -74, 218]; H: 75.6650390625
SENSE daad 39 19-04-2019 05:55:43.776 T: 29.01599884033203 [C]; A:[-6, -18, 244]; H: 72.704833984375
SENSE daac 59 19-04-2019 05:55:44.115 T: 28.82879829406738 [C]; A:[24, -74, 216]; H: 75.6650390625
SENSE daad 40 19-04-2019 05:55:44.344 T: 29.01599884033203 [C]; A:[-6, -18, 244]; H: 72.67431640625
SENSE daac 60 19-04-2019 05:55:44.691 T: 28.89119911193847 [C]; A:[28, -76, 214]; H: 75.6650390625
SENSE daad 41 19-04-2019 05:55:44.911 T: 29.01599884033203 [C]; A:[0, -20, 248]; H: 72.643798828125
SENSE daac 61 19-04-2019 05:55:45.257 T: 28.82879829406738 [C]; A:[20, -68, 216]; H: 75.6650390625
SENSE daad 42 19-04-2019 05:55:45.488 T: 29.01599884033203 [C]; A:[-4, -18, 246]; H: 72.643798828125
SENSE daac 62 19-04-2019 05:55:45.843 T: 28.82879829406738 [C]; A:[24, -74, 212]; H: 75.6650390625
SENSE daad 43 19-04-2019 05:55:46.081 T: 29.01599884033203 [C]; A:[0, -20, 250]; H: 72.62091064453125
SENSE daab 53 19-04-2019 05:55:41.611 T: 25.89599990844726 [C]; A:[6, 2, 236]; H: 85.49169921875
SENSE daad 44 19-04-2019 05:55:46.639 T: 29.01599884033203 [C]; A:[-6, -14, 248]; H: 72.62091064453125
SENSE daab 54 19-04-2019 05:55:47.045 T: 26.02079963684082 [C]; A:[2, 8, 232]; H: 85.30859375
SENSE daad 45 19-04-2019 05:55:47.220 T: 29.01599884033203 [C]; A:[0, -20, 248]; H: 72.55987548828125
SENSE daab 55 19-04-2019 05:55:47.623 T: 26.08319854736328 [C]; A:[2, 2, 240]; H: 85.278076171875
SENSE daad 46 19-04-2019 05:55:47.793 T: 29.01599884033203 [C]; A:[-4, -16, 248]; H: 72.55987548828125
SENSE daab 56 19-04-2019 05:55:48.200 T: 26.02079963684082 [C]; A:[0, 2, 240]; H: 85.24755859375
