SENSE daaa 37 22-04-2019 11:14:55.188 T: 25.58399963378906 [C]; A:[6, -36, 250]; H: 63.5343017578125
SENSE daab 33 22-04-2019 11:14:44.502 T: 28.89119911193847 [C]; A:[-48, -32, 178]; H: 59.46783447265625
SENSE daaa 38 22-04-2019 11:14:55.765 T: 25.58399963378906 [C]; A:[2, -32, 242]; H: 63.5343017578125
SENSE daaa 39 22-04-2019 11:14:56.304 T: 25.58399963378906 [C]; A:[8, -30, 248]; H: 63.5343017578125
SENSE daaa 40 22-04-2019 11:14:56.761 T: 25.52159881591796 [C]; A:[2, -24, 254]; H: 63.5343017578125
SENSE daaa 41 22-04-2019 11:14:57.219 T: 25.58399963378906 [C]; A:[0, -38, 244]; H: 63.5343017578125
SENSE daac 23 22-04-2019 11:14:57.340 T: 26.9567985534668 [C]; A:[0, 68, 198]; H: 64.03021240234375
SENSE daaa 42 22-04-2019 11:14:57.672 T: 25.58399963378906 [C]; A:[8, -30, 252]; H: 63.5343017578125
SENSE daac 24 22-04-2019 11:14:57.890 T: 26.9567985534668 [C]; A:[0, 64, 192]; H: 64.03021240234375
SENSE daaa 43 22-04-2019 11:14:58.244 T: 25.58399963378906 [C]; A:[2, -30, 250]; H: 63.5343017578125
SENSE daac 25 22-04-2019 11:14:58.445 T: 26.9567985534668 [C]; A:[0, 64, 194]; H: 63.99969482421875
SENSE daaa 44 22-04-2019 11:14:58.812 T: 25.58399963378906 [C]; A:[6, -32, 248]; H: 63.5343017578125
SENSE daac 26 22-04-2019 11:14:59.030 T: 26.9567985534668 [C]; A:[-6, 64, 198]; H: 63.99969482421875
SENSE daaa 45 22-04-2019 11:14:59.389 T: 25.52159881591796 [C]; A:[8, -30, 248]; H: 63.5953369140625
SENSE daac 27 22-04-2019 11:14:59.605 T: 26.9567985534668 [C]; A:[-4, 64, 196]; H: 63.96917724609375
SENSE daaa 46 22-04-2019 11:14:59.967 T: 25.58399963378906 [C]; A:[0, -24, 254]; H: 63.61822509765625
SENSE daac 28 22-04-2019 11:15:00.190 T: 26.9567985534668 [C]; A:[2, 64, 198]; H: 63.96917724609375
SENSE daaa 47 22-04-2019 11:15:00.549 T: 25.58399963378906 [C]; A:[6, -24, 246]; H: 63.64874267578125
SENSE daac 29 22-04-2019 11:15:00.755 T: 27.0191993713379 [C]; A:[-4, 64, 198]; H: 63.9462890625
SENSE daac 30 22-04-2019 11:15:01.351 T: 26.9567985534668 [C]; A:[0, 60, 200]; H: 63.9462890625
SENSE daab 34 22-04-2019 11:14:49.750 T: 28.89119911193847 [C]; A:[70, 82, 256]; H: 59.2618408203125
