SENSE daac 39 19-04-2019 11:40:31.829 T: 30.3263988494873 [C]; A:[-10, 6, 196]; H: 74.7647705078125
SENSE daaa 33 19-04-2019 11:40:32.170 T: 29.764799118042 [C]; A:[78, -64, 224]; H: 72.60565185546875
SENSE daac 40 19-04-2019 11:40:32.369 T: 30.3887996673584 [C]; A:[-8, 6, 202]; H: 74.7647705078125
SENSE daaa 34 19-04-2019 11:40:32.747 T: 29.764799118042 [C]; A:[78, -64, 226]; H: 72.57513427734375
SENSE daac 41 19-04-2019 11:40:32.945 T: 30.3887996673584 [C]; A:[-10, 8, 202]; H: 74.7342529296875
SENSE daad 34 19-04-2019 11:40:28.334 T: 31.26239967346191 [C]; A:[44, 12, 226]; H: 71.8656005859375
SENSE daac 42 19-04-2019 11:40:33.529 T: 30.3887996673584 [C]; A:[-10, 4, 192]; H: 74.7342529296875
SENSE daad 35 19-04-2019 11:40:33.978 T: 31.26239967346191 [C]; A:[44, 14, 232]; H: 71.64434814453125
SENSE daac 43 19-04-2019 11:40:34.100 T: 30.3887996673584 [C]; A:[-6, 4, 202]; H: 74.74188232421875
SENSE daad 36 19-04-2019 11:40:34.585 T: 31.26239967346191 [C]; A:[46, 6, 230]; H: 71.64434814453125
SENSE daac 44 19-04-2019 11:40:34.780 T: 30.3887996673584 [C]; A:[-4, 6, 200]; H: 74.7037353515625
SENSE daad 37 19-04-2019 11:40:35.287 T: 31.32479858398437 [C]; A:[42, 16, 232]; H: 71.64434814453125
SENSE daac 45 19-04-2019 11:40:35.475 T: 30.3887996673584 [C]; A:[-6, 6, 206]; H: 74.7037353515625
SENSE daad 38 19-04-2019 11:40:35.988 T: 31.32479858398437 [C]; A:[46, 14, 228]; H: 71.61383056640625
SENSE daac 46 19-04-2019 11:40:36.181 T: 30.3887996673584 [C]; A:[-8, 4, 200]; H: 74.65032958984375
SENSE daad 39 19-04-2019 11:40:36.690 T: 31.32479858398437 [C]; A:[42, 12, 230]; H: 71.5909423828125
SENSE daac 47 19-04-2019 11:40:36.896 T: 30.3887996673584 [C]; A:[-12, 8, 202]; H: 74.6884765625
SENSE daad 40 19-04-2019 11:40:37.402 T: 31.32479858398437 [C]; A:[42, 14, 232]; H: 71.5909423828125
SENSE daac 48 19-04-2019 11:40:37.596 T: 30.3887996673584 [C]; A:[-8, 6, 204]; H: 74.6884765625
SENSE daaa 35 19-04-2019 11:40:33.330 T: 29.764799118042 [C]; A:[82, -64, 228]; H: 72.54461669921875
SENSE daad 41 19-04-2019 11:40:38.094 T: 31.32479858398437 [C]; A:[46, 10, 230]; H: 71.5604248046875
SENSE daaa 36 19-04-2019 11:40:38.665 T: 29.82719993591308 [C]; A:[76, -64, 224]; H: 72.4912109375
SENSE daad 42 19-04-2019 11:40:38.965 T: 31.32479858398437 [C]; A:[52, 8, 230]; H: 71.56805419921875
SENSE daaa 37 19-04-2019 11:40:39.247 T: 29.82719993591308 [C]; A:[82, -66, 226]; H: 72.4912109375
SENSE daad 43 19-04-2019 11:40:39.537 T: 31.32479858398437 [C]; A:[38, 10, 234]; H: 71.53753662109375
SENSE daaa 38 19-04-2019 11:40:39.820 T: 29.82719993591308 [C]; A:[76, -66, 224]; H: 72.4912109375
